DSEI	População Indígena	Dose 1	% Dose 1	Dose 2 e Única	% Dose 2 e Única	Dose 1 (3 a 4 anos)	Dose 1 (5 a 17 anos)	Dose 1 (> 18 anos)	Dose 2 (3 a 4 anos)	Dose 2 (5 a 17 anos)	Dose 2 (> 18 anos)	Reforço 1 (> 18 anos)
Alagoas e sergipe	12818	12627	0.985099079419566	12283	0.958261819316586	481	3615	8531	426	3445	8412	7714
Altamira	4383	4286	0.977869039470682	4047	0.923340177960301	271	1822	2193	176	1692	2179	2209
Alto rio juruá	16361	12899	0.788399242100116	9959	0.608703624472832	692	5086	7121	482	3245	6232	4988
Alto rio negro	24789	24789	1	23771	0.958933397878091	1706	7003	16080	688	7003	16080	16080
Alto rio purus	10968	10157	0.926057622173596	7773	0.708698030634573	639	4021	5497	193	2541	5039	3868
Alto rio solimões	65706	54793	0.833911667123246	37678	0.573433172008645	1596	23332	29865	452	11059	26167	19007
Amapá e norte do pará	11311	9770	0.863760940677217	7116	0.629122093537265	383	3743	5644	111	1906	5099	4840
Araguaia	4992	3251	0.651241987179487	2213	0.443309294871795	0	1186	2065	0	379	1834	1164
Bahia	31927	30741	0.962852757853854	29258	0.916403044445141	1039	8908	20.794	785	7985	20.488	18660
Ceará	27697	27620	0.997219915514316	27532	0.994042676102105	986	6322	20.312	986	6322	20.224	19040
Cuiabá	8757	7996	0.913098092954208	7296	0.833162041795135	236	2973	4787	217	2382	4697	4910
Guamá-tocantins	19250	15932	0.827636363636364	13305	0.691168831168831	611	5702	9619	94	4366	8845	8259
Interior sul	33359	32893	0.986030756317635	30.822	0.923948559609101	1480	9776	21637	1139	8329	21354	17796
Kaiapó do mato grosso	4778	4462	0.93386354123064	3334	0.697781498534952	264	1969	2229	178	1523	1633	1613
Kaiapó do pará	5855	3255	0.555935098206661	1985	0.339026473099915	76	1046	2133	12	192	1781	749
Leste de roraima	49616	36714	0.739962915188649	30.770	0.620162850693325	324	12921	23469	65	9215	21490	12829
Litoral sul	23558	22872	0.970880380337889	21992	0.933525766194074	1066	7918	13888	729	7631	13632	13031
Manaus	29124	28316	0.972256558165087	26552	0.911687954951243	1367	10803	16146	1060	9616	15876	14549
Maranhão	36017	33601	0.932920565288614	29637	0.822861426548574	2184	12952	18465	1076	10766	17795	14679
Mato grosso do sul	75542	67751	0.896865319954462	58074	0.768764395965158	1962	24348	41441	1071	16981	40.022	31495
Médio rio purus	8233	6674	0.810640106886918	5603	0.680553868577675	409	2294	3971	214	1741	3648	3072
Médio rio solimões e afluentes	17040	14319	0.840316901408451	10022	0.588145539906103	0	5799	8520	0	1616	8406	6439
Minas gerais e espírito santo	17515	16589	0.947131030545247	15779	0.900884955752212	641	5431	10517	560	4934	10285	9031
Parintins	13249	13010	0.981960902709638	12553	0.947467733413843	960	5203	6847	960	5038	6555	6168
Pernambuco	38139	37776	0.990482183591599	37606	0.986024804006398	1609	10523	25644	1536	10523	25547	24224
Porto velho	10415	9859	0.946615458473356	9270	0.890062409985598	452	3817	5590	288	3501	5481	5526
Potiguara	15292	14455	0.945265498299765	13985	0.91453047345017	727	4240	9488	566	4070	9349	8714
Rio tapajós	13130	7797	0.593830921553694	5263	0.400837776085301	128	2306	5363	44	847	4372	1456
Tocantins	11963	9970	0.833402992560395	7641	0.638719384769707	129	4213	5628	0	2519	5122	3223
Vale do javari	5563	5059	0.909401402121158	4218	0.758223979866978	281	1980	2798	129	1373	2716	1986
Vilhena	5996	5612	0.935957304869913	5282	0.880920613742495	233	2207	3172	153	2025	3104	2969
Xavante	19522	19044	0.975514803811085	17857	0.914711607417273	1252	8334	9458	769	7859	9229	8161
Xingu	7258	6279	0.865114356572058	5940	0.818407274731331	394	2516	3369	164	2321	3455	3204
Yanomami	27616	20.822	0.753983198146002	15186	0.549898609501738	903	7843	12076	334	4529	10323	4791
